DISCOVERY REPORT (RANKED)
-------------------------
20:feature_10 | score=5.0000
47:feature_9 | score=5.0000
161:feature_6 | score=5.0000
195:feature_8 | score=5.0000
230:feature_6 | score=5.0000
289:feature_6 | score=5.0000
371:feature_7 | score=5.0000
499:feature_8 | score=5.0000
579:feature_7 | score=5.0000
722:feature_4 | score=5.0000
824:feature_9 | score=5.0000
872:feature_7 | score=5.0000
1133:feature_9 | score=5.0000
1146:feature_5 | score=5.0000
1270:feature_9 | score=5.0000
1316:feature_10 | score=5.0000
1320:feature_7 | score=5.0000
1322:feature_6 | score=5.0000
1344:feature_5 | score=5.0000
1394:feature_7 | score=5.0000
1584:feature_4 | score=5.0000
1743:feature_7 | score=5.0000
2012:feature_7 | score=5.0000
2335:feature_6 | score=5.0000
2417:feature_8 | score=5.0000
2564:feature_8 | score=5.0000
2691:feature_5 | score=5.0000
2748:feature_7 | score=5.0000
2851:feature_6 | score=5.0000
3056:feature_10 | score=5.0000
3241:feature_5 | score=5.0000
3307:feature_6 | score=5.0000
3360:feature_1 | score=5.0000
3695:feature_10 | score=5.0000
4019:feature_8 | score=5.0000
4484:feature_3 | score=5.0000
4533:feature_2 | score=5.0000
4716:feature_2 | score=5.0000
5022:feature_1 | score=5.0000
5115:feature_7 | score=5.0000
5193:feature_2 | score=5.0000
5194:feature_2 | score=5.0000
5379:feature_3 | score=5.0000
5419:feature_10 | score=5.0000
5688:feature_8 | score=5.0000
5724:feature_2 | score=5.0000
5964:feature_9 | score=5.0000
5978:feature_1 | score=5.0000
6021:feature_8 | score=5.0000
6034:feature_7 | score=5.0000

TOTAL_DISCOVERIES=153
