DISCOVERY REPORT V3 (INTENSITY)
--------------------------------
9430:feature_10 | score=6.8098
9951:feature_9 | score=6.8042
1584:feature_4 | score=6.7187
8697:feature_7 | score=6.5244
8869:feature_8 | score=6.4962
2792:feature_1 | score=6.3530
8880:feature_9 | score=6.3432
7449:feature_8 | score=6.2268
5660:feature_5 | score=6.2150
1532:feature_3 | score=6.1936
4634:feature_4 | score=6.1934
9223:feature_8 | score=6.1806
3501:feature_6 | score=6.1644
9548:feature_8 | score=6.1502
1381:feature_1 | score=6.1486
8899:feature_9 | score=6.1258
829:feature_2 | score=6.1114
3282:feature_1 | score=6.0922
423:feature_2 | score=6.0662
689:feature_2 | score=6.0530
2855:feature_3 | score=6.0484
3362:feature_5 | score=6.0428
1705:feature_3 | score=6.0136
428:feature_1 | score=6.0058
9501:feature_10 | score=6.0042
289:feature_6 | score=5.8893
20:feature_10 | score=5.7790
6688:feature_5 | score=5.7447
9532:feature_1 | score=5.6493
6268:feature_1 | score=5.6403
2012:feature_7 | score=5.4042
8504:feature_5 | score=5.3997
7778:feature_6 | score=5.3427
5964:feature_9 | score=5.3040
5379:feature_3 | score=5.2426
4716:feature_2 | score=5.2073
5688:feature_8 | score=5.1693
9796:feature_6 | score=5.1656
5194:feature_2 | score=5.1623
1322:feature_6 | score=5.1433
5193:feature_2 | score=5.1098
4019:feature_8 | score=5.1029
7907:feature_5 | score=5.0991
9989:feature_3 | score=5.0753
1133:feature_9 | score=5.0667
824:feature_9 | score=5.0661
9483:feature_2 | score=5.0641
3056:feature_10 | score=5.0223
7577:feature_4 | score=4.9399
1146:feature_5 | score=4.9317

TOTAL_DISCOVERIES=153
