STRUCTURAL ANOMALY REPORT
-------------------------
row=20 | feature_10 | value=3.8527 | wrong_cluster=1
row=47 | feature_9 | value=3.0789 | wrong_cluster=1
row=161 | feature_6 | value=3.1931 | wrong_cluster=1
row=195 | feature_8 | value=3.1377 | wrong_cluster=1
row=230 | feature_6 | value=3.1099 | wrong_cluster=1
row=289 | feature_6 | value=3.9262 | wrong_cluster=1
row=371 | feature_7 | value=3.2431 | wrong_cluster=1
row=499 | feature_8 | value=3.1129 | wrong_cluster=1
row=579 | feature_7 | value=3.0983 | wrong_cluster=1
row=722 | feature_4 | value=3.1177 | wrong_cluster=1
row=824 | feature_9 | value=3.3774 | wrong_cluster=1
row=872 | feature_7 | value=3.1578 | wrong_cluster=1
row=1133 | feature_9 | value=3.3778 | wrong_cluster=1
row=1146 | feature_5 | value=3.2878 | wrong_cluster=1
row=1270 | feature_9 | value=3.2841 | wrong_cluster=1
row=1316 | feature_10 | value=3.0407 | wrong_cluster=1
row=1320 | feature_7 | value=3.0966 | wrong_cluster=1
row=1322 | feature_6 | value=3.4289 | wrong_cluster=1
row=1344 | feature_5 | value=3.1866 | wrong_cluster=1
row=1394 | feature_7 | value=3.2857 | wrong_cluster=1
row=1584 | feature_4 | value=4.4791 | wrong_cluster=1
row=1743 | feature_7 | value=3.0967 | wrong_cluster=1
row=2012 | feature_7 | value=3.6028 | wrong_cluster=1
row=2335 | feature_6 | value=3.1367 | wrong_cluster=1
row=2417 | feature_8 | value=3.0383 | wrong_cluster=1
row=2564 | feature_8 | value=3.2154 | wrong_cluster=1
row=2691 | feature_5 | value=3.1589 | wrong_cluster=1
row=2748 | feature_7 | value=3.1323 | wrong_cluster=1
row=2851 | feature_6 | value=3.0138 | wrong_cluster=1
row=3056 | feature_10 | value=3.3482 | wrong_cluster=1
row=3241 | feature_5 | value=3.0092 | wrong_cluster=1
row=3307 | feature_6 | value=3.0027 | wrong_cluster=1
row=3360 | feature_1 | value=3.2229 | wrong_cluster=2
row=3695 | feature_10 | value=3.1834 | wrong_cluster=2
row=4019 | feature_8 | value=3.4019 | wrong_cluster=2
row=4484 | feature_3 | value=3.1682 | wrong_cluster=2
row=4533 | feature_2 | value=3.2133 | wrong_cluster=2
row=4716 | feature_2 | value=3.4715 | wrong_cluster=2
row=5022 | feature_1 | value=3.0160 | wrong_cluster=2
row=5115 | feature_7 | value=3.0549 | wrong_cluster=2
row=5193 | feature_2 | value=3.4065 | wrong_cluster=2
row=5194 | feature_2 | value=3.4415 | wrong_cluster=2
row=5379 | feature_3 | value=3.4951 | wrong_cluster=2
row=5419 | feature_10 | value=3.0355 | wrong_cluster=2
row=5688 | feature_8 | value=3.4462 | wrong_cluster=2
row=5724 | feature_2 | value=3.1672 | wrong_cluster=2
row=5964 | feature_9 | value=3.5360 | wrong_cluster=2
row=5978 | feature_1 | value=3.1504 | wrong_cluster=2
row=6021 | feature_8 | value=3.0104 | wrong_cluster=2
row=6034 | feature_7 | value=3.2705 | wrong_cluster=2
row=6066 | feature_9 | value=3.2658 | wrong_cluster=2
row=6165 | feature_3 | value=3.0377 | wrong_cluster=2
row=6251 | feature_7 | value=3.0051 | wrong_cluster=2
row=6268 | feature_1 | value=3.7602 | wrong_cluster=2
row=6569 | feature_9 | value=3.0292 | wrong_cluster=2
row=6604 | feature_1 | value=3.1893 | wrong_cluster=2
row=6688 | feature_5 | value=3.8298 | wrong_cluster=3
row=6753 | feature_3 | value=3.1316 | wrong_cluster=3
row=6991 | feature_1 | value=3.0397 | wrong_cluster=3
row=7193 | feature_6 | value=3.0122 | wrong_cluster=3
row=7221 | feature_5 | value=3.0756 | wrong_cluster=3
row=7507 | feature_3 | value=3.1162 | wrong_cluster=3
row=7577 | feature_4 | value=3.2933 | wrong_cluster=3
row=7644 | feature_1 | value=3.2253 | wrong_cluster=3
row=7691 | feature_5 | value=3.0025 | wrong_cluster=3
row=7721 | feature_3 | value=3.0577 | wrong_cluster=3
row=7753 | feature_2 | value=3.0611 | wrong_cluster=3
row=7778 | feature_6 | value=3.5618 | wrong_cluster=3
row=7885 | feature_3 | value=3.0056 | wrong_cluster=3
row=7898 | feature_3 | value=3.0801 | wrong_cluster=3
row=7907 | feature_5 | value=3.3994 | wrong_cluster=3
row=8068 | feature_4 | value=3.2087 | wrong_cluster=3
row=8289 | feature_1 | value=3.1112 | wrong_cluster=3
row=8504 | feature_5 | value=3.5998 | wrong_cluster=3
row=8775 | feature_5 | value=3.1831 | wrong_cluster=3
row=8819 | feature_5 | value=3.2587 | wrong_cluster=3
row=8856 | feature_2 | value=3.1811 | wrong_cluster=3
row=9198 | feature_5 | value=3.2609 | wrong_cluster=3
row=9483 | feature_2 | value=3.3761 | wrong_cluster=3
row=9532 | feature_1 | value=3.7662 | wrong_cluster=3
row=9691 | feature_6 | value=3.1207 | wrong_cluster=3
row=9796 | feature_6 | value=3.4437 | wrong_cluster=3
row=9817 | feature_4 | value=3.0530 | wrong_cluster=3
row=9989 | feature_3 | value=3.3835 | wrong_cluster=3

TOTAL_STRUCTURAL_ANOMALIES=84
